k,m,logm_k
733,3553822998,3.33346
734,3553822998,3.33277
735,3553822998,3.33208
736,3553822998,3.33139
737,3553822998,3.33071
738,3553822998,3.33002
739,3553822998,3.32934
740,3553822998,3.32866
741,3553822998,3.32798
742,3553822998,3.3273
743,3553822998,3.32662
744,3553822998,3.32595
745,3553822998,3.32527
746,3553822998,3.3246
747,3553822998,3.32392
748,3553822998,3.32325
749,3553822998,3.32258
750,4820595108,3.36796
751,4820595108,3.36729
752,4820595108,3.36661
753,4820595108,3.36593
754,4820595108,3.36526
755,4820595108,3.36459
756,4820595108,3.36391
757,4820595108,3.36324
758,4820595108,3.36257
759,4820595108,3.36191
760,4820595108,3.36124
761,4820595108,3.36057
762,4820595108,3.35991
763,4820595108,3.35924
764,4820595108,3.35858
765,4820595108,3.35792
766,4820595108,3.35726
767,4820595108,3.3566
768,4820595108,3.35594
769,4820595108,3.35528
770,4820595108,3.35463
771,4820595108,3.35397
772,4820595108,3.35332
773,6353983350,3.3942
774,6360489685,3.39369
775,6360489685,3.39303
776,6360489685,3.39237
777,6360489685,3.39172
778,6360489685,3.39106
779,6360489685,3.39041
780,6360489685,3.38975
781,6360489685,3.3891
782,6360489685,3.38845
783,6360489685,3.3878
784,6360489685,3.38715
785,6360489685,3.3865
786,6360489685,3.38586
787,6360489685,3.38521
788,6360489685,3.38457
789,6989074272,3.39805
790,6989074272,3.39741
791,6989074272,3.39676
792,6989074272,3.39612
793,6989074272,3.39548
794,6989074272,3.39484
795,6989074272,3.3942
796,6989074272,3.39356
797,6989074272,3.39292
798,6989074272,3.39228
799,6989074272,3.39165
800,6989074272,3.39101
801,6989074272,3.39038
802,6989074272,3.38975
803,6989074272,3.38912
804,6989074272,3.38849
805,6989074272,3.38786
806,6989074272,3.38723
807,6989074272,3.3866
808,6989074272,3.38597
809,6989074272,3.38535
810,6989074272,3.38472
811,6989074272,3.3841
812,6989074272,3.38348
813,6989074272,3.38286
814,8383453710,3.40938
815,8383453710,3.40875
816,8383453710,3.40813
817,8383453710,3.40751
818,8383453710,3.40689
819,8383453710,3.40627
820,8383453710,3.40565
821,8383453710,3.40503
822,8383453710,3.40441
823,8383453710,3.40379
824,8383453710,3.40318
825,8383453710,3.40256
826,8383453710,3.40195
827,8383453710,3.40134
828,8383453710,3.40073
829,8383453710,3.40012
830,8383453710,3.39951
831,8679955864,3.40407
832,8679955864,3.40346
833,8679955864,3.40285
834,8679955864,3.40224
835,8679955864,3.40164
836,8679955864,3.40103
837,8679955864,3.40043
838,8679955864,3.39982
839,8679955864,3.39922
840,8679955864,3.39862
841,8679955864,3.39802
842,8679955864,3.39742
843,8679955864,3.39682
844,8679955864,3.39623
845,8679955864,3.39563
846,8679955864,3.39503
847,8679955864,3.39444
848,8679955864,3.39384
849,8679955864,3.39325
850,8679955864,3.39266
851,8679955864,3.39207
852,8679955864,3.39148
853,8679955864,3.39089
854,8679955864,3.3903
855,8679955864,3.38971
856,8679955864,3.38912
857,8679955864,3.38854
858,8679955864,3.38795
859,8679955864,3.38737
860,8679955864,3.38679
861,8679955864,3.3862
862,8679955864,3.38562
863,8679955864,3.38504
864,8679955864,3.38446
865,8679955864,3.38388
866,8679955864,3.3833
867,8679955864,3.38273
868,8679955864,3.38215
869,8679955864,3.38158
870,8679955864,3.381
871,8679955864,3.38043
872,8679955864,3.37985
873,8679955864,3.37928
874,8679955864,3.37871
875,8679955864,3.37814
876,8679955864,3.37757
877,8679955864,3.377
878,8679955864,3.37643
879,8679955864,3.37587
880,8679955864,3.3753
881,8679955864,3.37474
882,8679955864,3.37417
883,8679955864,3.37361
884,8679955864,3.37305
885,8679955864,3.37248
886,8679955864,3.37192
887,8679955864,3.37136
888,8679955864,3.3708
889,8679955864,3.37024
890,8679955864,3.36969
891,8679955864,3.36913
892,8679955864,3.36857
893,8679955864,3.36802
894,8679955864,3.36746
895,8679955864,3.36691
896,8679955864,3.36636
897,8679955864,3.3658
898,8679955864,3.36525
899,8679955864,3.3647
900,8679955864,3.36415
901,8679955864,3.3636
902,8679955864,3.36305
903,8679955864,3.36251
904,8679955864,3.36196
905,8679955864,3.36141
906,8679955864,3.36087
907,8679955864,3.36032
908,8679955864,3.35978
909,8679955864,3.35924
910,8679955864,3.35869
911,8679955864,3.35815
912,8679955864,3.35761
913,8679955864,3.35707
914,8679955864,3.35653
915,8679955864,3.356
916,8679955864,3.35546
917,8679955864,3.35492
918,8679955864,3.35439
919,8679955864,3.35385
920,8679955864,3.35332
921,8679955864,3.35278
922,8679955864,3.35225
923,8679955864,3.35172
924,8679955864,3.35119
925,8679955864,3.35065
926,16770479005,3.44654
927,16770479005,3.446
928,16770479005,3.44545
929,19618380983,3.46786
930,19618380983,3.46731
931,19618380983,3.46677
932,19618380983,3.46622
933,19618380983,3.46568
934,19618380983,3.46514
935,19618380983,3.4646
936,19618380983,3.46406
937,20865402060,3.47252
938,20865402060,3.47198
939,20865402060,3.47144
940,20865402060,3.4709
941,20865402060,3.47036
942,20865402060,3.46982
943,20865402060,3.46928
944,20865402060,3.46875
945,20865402060,3.46821
946,20865402060,3.46768
947,21540106484,3.47179
948,21540106484,3.47125
949,21540106484,3.47072
950,21540106484,3.47018
951,21540106484,3.46965
952,21540106484,3.46912
953,21540106484,3.46859
954,21540106484,3.46806
955,21540106484,3.46753
956,21540106484,3.467
957,21540106484,3.46647
958,21540106484,3.46594
959,21540106484,3.46542
960,21540106484,3.46489
961,22369305364,3.46987
962,22369305364,3.46934
963,22369305364,3.46882
964,22369305364,3.46829
965,22369305364,3.46777
966,22369305364,3.46725
967,22369305364,3.46672
968,22369305364,3.4662
969,22369305364,3.46568
970,22369305364,3.46516
971,22369305364,3.46464
972,22369305364,3.46413
973,22369305364,3.46361
974,22369305364,3.46309
975,22369305364,3.46257
976,22369305364,3.46206
977,22369305364,3.46154
978,22369305364,3.46103
979,22369305364,3.46052
980,22369305364,3.46
981,22369305364,3.45949
982,22369305364,3.45898
983,22369305364,3.45847
984,22369305364,3.45796
985,22369305364,3.45745
986,22369305364,3.45694
987,22369305364,3.45643
988,22369305364,3.45592
989,22369305364,3.45542
990,22369305364,3.45491
991,22369305364,3.45441
992,22369305364,3.4539
993,22369305364,3.4534
994,22369305364,3.45289
995,22369305364,3.45239
996,22369305364,3.45189
997,22369305364,3.45139
998,22369305364,3.45088
999,22369305364,3.45038
